OD:595

Time	0:00:52	0:41:52	1:11:52	1:41:52	2:11:51	2:41:52	3:11:52	3:41:52	4:11:52	4:41:52	5:11:55	5:41:52	6:11:52	6:41:52	7:11:52	7:41:52	8:11:52	8:41:52	9:11:52	9:41:52	10:11:52	10:41:52	11:11:52	11:41:52	12:11:52	12:41:52	13:11:52	13:41:52	14:11:53	14:41:52	15:11:52	15:41:52	16:11:52	16:41:52	17:11:52	17:41:52	18:11:52	18:41:52	19:11:52	19:41:52	20:11:52	20:41:52	21:11:52	21:41:52	
T° OD:595	37.0	36.9	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	36.9	36.9	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	
A1	0.050	0.049	0.049	0.049	0.049	0.050	0.050	0.050	0.051	0.052	0.053	0.055	0.058	0.063	0.070	0.079	0.091	0.100	0.112	0.124	0.142	0.162	0.179	0.190	0.199	0.206	0.214	0.221	0.224	0.228	0.232	0.235	0.240	0.238	0.239	0.240	0.239	0.239	0.238	0.237	0.235	0.235	0.233	0.233	
A2	0.048	0.048	0.048	0.049	0.048	0.049	0.049	0.049	0.050	0.051	0.051	0.053	0.054	0.057	0.060	0.064	0.070	0.078	0.088	0.103	0.121	0.137	0.153	0.173	0.184	0.197	0.211	0.224	0.236	0.245	0.252	0.256	0.267	0.268	0.274	0.278	0.283	0.287	0.294	0.300	0.305	0.311	0.319	0.327	
A3	0.051	0.051	0.052	0.052	0.052	0.052	0.053	0.053	0.054	0.055	0.057	0.058	0.060	0.063	0.066	0.071	0.077	0.085	0.096	0.110	0.127	0.141	0.158	0.175	0.189	0.203	0.219	0.232	0.243	0.252	0.260	0.269	0.281	0.284	0.291	0.301	0.316	0.320	0.326	0.328	0.333	0.340	0.352	0.361	
A4	0.037	0.047	0.047	0.047	0.047	0.047	0.048	0.048	0.048	0.048	0.049	0.050	0.051	0.053	0.056	0.060	0.067	0.075	0.085	0.102	0.120	0.135	0.152	0.184	0.193	0.209	0.230	0.246	0.258	0.266	0.267	0.271	0.288	0.281	0.285	0.294	0.301	0.300	0.305	0.308	0.313	0.316	0.319	0.322	
A5	0.039	0.048	0.048	0.049	0.048	0.049	0.049	0.049	0.050	0.050	0.051	0.052	0.054	0.057	0.059	0.062	0.069	0.078	0.089	0.105	0.119	0.131	0.146	0.166	0.176	0.193	0.209	0.221	0.229	0.234	0.237	0.243	0.253	0.254	0.261	0.269	0.274	0.277	0.284	0.289	0.295	0.299	0.304	0.309	
A6	0.049	0.049	0.048	0.049	0.048	0.048	0.048	0.049	0.049	0.049	0.049	0.049	0.049	0.050	0.050	0.050	0.051	0.051	0.052	0.052	0.053	0.054	0.055	0.056	0.058	0.061	0.066	0.072	0.083	0.095	0.117	0.142	0.178	0.206	0.242	0.275	0.298	0.315	0.327	0.338	0.349	0.361	0.371	0.386	
A7	0.049	0.049	0.049	0.049	0.048	0.048	0.048	0.048	0.048	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.050	0.050	0.050	0.050	0.051	0.051	0.052	0.052	0.053	0.053	0.054	0.055	0.056	0.057	0.059	0.060	0.063	0.065	0.068	0.071	0.075	0.080	0.088	0.097	0.110	0.124	0.139	0.155	
A8	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.048	0.048	0.048	0.048	0.049	0.049	0.050	0.050	0.051	0.052	0.055	0.059	0.060	0.064	0.067	0.071	0.081	0.094	0.116	0.145	0.176	0.216	0.263	0.312	0.351	0.382	0.405	0.426	0.441	
A9	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	
A10	0.053	0.052	0.053	0.053	0.053	0.053	0.053	0.054	0.054	0.055	0.056	0.057	0.059	0.061	0.064	0.067	0.072	0.077	0.081	0.086	0.091	0.094	0.098	0.101	0.105	0.110	0.114	0.120	0.125	0.130	0.137	0.142	0.145	0.150	0.156	0.165	0.172	0.179	0.184	0.189	0.195	0.201	0.205	0.210	
A11	0.049	0.048	0.049	0.049	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.047	0.048	0.048	0.047	0.048	0.048	0.048	0.048	0.048	0.047	0.048	0.048	0.048	0.048	0.048	0.048	0.047	0.048	
A12	0.050	0.050	0.050	0.050	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.048	0.048	0.049	0.048	0.048	0.049	0.048	0.049	0.048	0.048	0.049	0.049	0.048	0.048	0.048	0.049	0.048	0.049	0.048	0.048	0.048	
B1	0.050	0.050	0.050	0.051	0.050	0.051	0.051	0.051	0.051	0.052	0.053	0.055	0.057	0.060	0.065	0.072	0.084	0.102	0.125	0.149	0.178	0.203	0.224	0.241	0.258	0.267	0.272	0.276	0.279	0.283	0.287	0.291	0.295	0.298	0.301	0.303	0.304	0.306	0.308	0.311	0.315	0.318	0.320	0.323	
B2	0.037	0.045	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.048	0.048	0.048	0.048	0.049	0.049	0.049	0.050	0.050	0.050	0.051	0.052	0.053	0.055	0.057	0.059	0.065	0.066	0.072	0.080	0.090	0.098	0.115	0.133	0.147	0.172	0.196	0.210	
B3	0.041	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.050	0.050	0.050	0.051	0.051	0.052	0.052	0.052	0.053	0.054	0.054	0.054	0.054	0.055	0.055	0.055	0.056	0.056	0.056	0.057	0.057	0.057	0.058	0.058	0.059	0.059	0.059	0.059	0.060	0.060	0.060	0.061	
B4	0.066	0.049	0.049	0.050	0.050	0.050	0.050	0.050	0.050	0.051	0.051	0.051	0.051	0.051	0.052	0.052	0.053	0.053	0.054	0.055	0.056	0.058	0.059	0.061	0.064	0.068	0.072	0.078	0.084	0.092	0.104	0.116	0.127	0.139	0.151	0.161	0.170	0.180	0.189	0.197	0.206	0.215	0.226	0.236	
B5	0.047	0.048	0.048	0.049	0.048	0.048	0.049	0.049	0.048	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.050	0.050	0.050	0.050	0.050	0.051	0.051	0.050	0.051	0.051	0.052	0.052	0.053	0.053	0.054	0.054	0.054	0.056	0.056	0.056	0.057	0.058	0.059	0.059	0.060	0.061	0.061	0.063	
